City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,San Jose,US,2021-12-05 09:46:23,37.3394,-121.895,53.82,87,90,3.44
94,Vila Do Maio,CV,2021-12-05 09:47:08,15.1333,-23.2167,74.19,73,99,17.6
95,Airai,TL,2021-12-05 09:47:09,-8.9266,125.4092,64.11,94,100,1.36
96,Tiksi,RU,2021-12-05 09:48:09,71.6872,128.8694,-12.8,94,100,2.57
97,Berlevag,NO,2021-12-05 09:48:09,70.8578,29.0864,16.45,84,59,22.97
98,Los Llanos De Aridane,ES,2021-12-05 09:48:10,28.6585,-17.9182,64.15,63,40,18.01
99,Naze,JP,2021-12-05 09:48:11,28.3667,129.4833,61.72,64,100,16.62
100,Botngard,NO,2021-12-05 09:48:11,63.7653,9.8111,26.46,63,0,20.71
101,Alta Floresta,BR,2021-12-05 09:48:12,-9.8756,-56.0861,71.11,98,100,2.53
102,Porto Velho,BR,2021-12-05 09:44:13,-8.7619,-63.9039,75.25,94,90,2.3
103,Fortuna,US,2021-12-05 09:48:12,40.5982,-124.1573,49.66,94,90,0.0
104,Sitka,US,2021-12-05 09:48:12,57.0531,-135.33,30.09,86,75,5.75
105,Kingston,JM,2021-12-05 09:44:44,17.997,-76.7936,77.95,82,20,1.01
106,Avarua,CK,2021-12-05 09:48:13,-21.2078,-159.775,78.85,89,20,4.61
107,Lompoc,US,2021-12-05 09:48:14,34.6391,-120.4579,56.93,90,90,4.61
108,Ciudad Bolivar,VE,2021-12-05 09:48:14,8.1222,-63.5497,73.45,89,97,7.31
109,Cabo San Lucas,MX,2021-12-05 09:48:15,22.8909,-109.9124,74.52,69,98,12.26
